œŒ–ﬂƒ Œ¬€… ÕŒÃ≈– «¿√–”« »; ÕŒÃ≈– “¬—;  ŒŒ–ƒ»Õ¿“¿ X;  ŒŒ–ƒ»Õ¿“¿ Y; —“¿“”—;  ¬–≈Ãﬂ «¿√–”« »; —Ã≈Õ¿; œŒ¬€—Œ“Õ¿ﬂ Œ“Ã≈“ ¿; «¿Ã≈◊¿Õ»≈ 
146;13;14;35;True;01.02.2016 14:57:26;;0;;
147;10;14;29;True;01.02.2016 14:57:26;;0;;
148;7;14;23;True;01.02.2016 14:57:26;;0;;
149;37;11;20;True;01.02.2016 14:57:26;;0;;
150;102;6;17;True;01.02.2016 14:57:27;;0;;
151;138;3;20;True;01.02.2016 14:57:27;;0;;
152;158;1;26;True;01.02.2016 14:57:27;;0;;
153;161;1;32;True;01.02.2016 14:57:27;;0;;
154;147;3;38;True;01.02.2016 14:57:27;;0;;
155;114;6;41;True;01.02.2016 14:57:27;;0;;
156;60;10;41;True;01.02.2016 14:57:27;;0;;
157;24;13;38;True;01.02.2016 14:57:28;;0;;
158;4;15;32;True;01.02.2016 14:57:28;;0;;
159;1;15;26;True;01.02.2016 14:57:28;;0;;
160;15;13;20;True;01.02.2016 14:57:28;;0;;
161;48;10;17;True;01.02.2016 14:57:28;;0;;
162;148;2;21;True;01.02.2016 14:57:28;;0;;
163;157;1;24;True;01.02.2016 14:57:30;;0;;
