ÏÎÐ‗ÄÊÎÂÛÉ ÍÎÌÅÐ ÇÀÃÐÓÇÊÈ; ÍÎÌÅÐ ÒÂÑ; ÊÎÎÐÄÈÍÀÒÀ X; ÊÎÎÐÄÈÍÀÒÀ Y; ÑÒÀÒÓÑ;  ÂÐÅÌ‗ ÇÀÃÐÓÇÊÈ; ÑÌÅÍÀ; ÏÎÂÛÑÎÒÍÀ‗ ÎÒÌÅÒÊÀ; ÇÀÌÅ×ÀÍÈÅ 
146;0;15;24;True;22.11.2014 14:36:00;אנגא;10897.5;;
147;2;15;28;True;22.11.2014 14:36:00;אנגא;10897.5;;
148;14;14;37;True;22.11.2014 14:36:00;אנגא;10897.5;;
149;35;12;39;True;22.11.2014 14:36:00;אנגא;10897.5;;
150;47;11;40;True;22.11.2014 14:36:01;אנגא;10897.5;;
151;74;9;42;True;22.11.2014 14:36:01;אנגא;10897.5;;
152;101;7;42;True;22.11.2014 14:36:01;אנגא;10897.5;;
153;126;5;40;True;22.11.2014 14:36:01;אנגא;10897.5;;
154;137;4;39;True;22.11.2014 14:36:01;אנגא;10897.5;;
155;162;1;34;True;22.11.2014 14:36:03;אנגא;10897.5;;
156;160;1;30;True;22.11.2014 14:36:04;אנגא;10897.5;;
157;159;1;28;True;22.11.2014 14:36:05;אנגא;10897.5;;
158;156;2;37;True;22.11.2014 14:36:05;אנגא;10897.5;;
159;4;15;32;True;22.11.2014 14:36:06;אנגא;10897.5;;
160;11;14;31;True;22.11.2014 14:36:07;אנגא;10897.5;;
161;12;14;33;True;22.11.2014 14:36:08;אנגא;10897.5;;
162;3;15;30;True;22.11.2014 14:36:09;אנגא;10897.5;;
163;5;15;34;True;22.11.2014 14:36:11;אנגא;10897.5;;
